event_id,title,description,venue,event_date,url,source,location,start_date,end_date,attending,music_types,stored_at
RAEvents_0,SMUT x Dasha Rush x Quelza,"1. SMUT x Dasha Rush x Quelza
📍 SMUT Athens
📅 2025-11-01 at 23:59
👥 90 attending
🔗 https://ra.co/events/2260812",SMUT Athens,2025-11-01,https://ra.co/events/2260812,RAEvents,athens,2025-11-01,2025-11-05,90,,2025-11-01T14:32:22.776208
RAEvents_1,KTK - 01.11 - Zed Athens,"2. KTK - 01.11 - Zed Athens
📍 Zed Athens
📅 2025-11-01 at 23:30
👥 111 attending
🔗 https://ra.co/events/2258958",Zed Athens,2025-11-01,https://ra.co/events/2258958,RAEvents,athens,2025-11-01,2025-11-05,111,,2025-11-01T14:32:22.776233
RAEvents_2,MVMNT pres. Yanamaste,"3. MVMNT pres. Yanamaste
📍 Block 33
📅 2025-11-01 at 23:00
👥 64 attending
🔗 https://ra.co/events/2250182",Block 33,2025-11-01,https://ra.co/events/2250182,RAEvents,athens,2025-11-01,2025-11-05,64,,2025-11-01T14:32:22.776240
RAEvents_3,VOLTAGE Welcomes DEXTRO at Black Temple Athens,"4. VOLTAGE Welcomes DEXTRO at Black Temple Athens
📍 Temple Athens
📅 2025-11-01 at 23:59
👥 59 attending
🔗 https://ra.co/events/2272148",Temple Athens,2025-11-01,https://ra.co/events/2272148,RAEvents,athens,2025-11-01,2025-11-05,59,,2025-11-01T14:32:22.776245
RAEvents_4,Space Progressive Opening Season 25 -26,"5. Space Progressive Opening Season 25 -26
📍 IT Athens
📅 2025-11-01 at 23:59
👥 18 attending
🔗 https://ra.co/events/2281537",IT Athens,2025-11-01,https://ra.co/events/2281537,RAEvents,athens,2025-11-01,2025-11-05,18,,2025-11-01T14:32:22.776250
RAEvents_5,Devika / Bekha Mujiri / BMSK,"6. Devika / Bekha Mujiri / BMSK
📍 Astron Club
📅 2025-11-01 at 23:00
👥 15 attending
🔗 https://ra.co/events/2292131",Astron Club,2025-11-01,https://ra.co/events/2292131,RAEvents,athens,2025-11-01,2025-11-05,15,,2025-11-01T14:32:22.776254
RAEvents_6,SOCIETY 3000,"7. SOCIETY 3000
📍 b•side athens
📅 2025-11-01 at 21:00
👥 11 attending
🔗 https://ra.co/events/2291433",b•side athens,2025-11-01,https://ra.co/events/2291433,RAEvents,athens,2025-11-01,2025-11-05,11,,2025-11-01T14:32:22.776258
RAEvents_7,COORDINATAS PRESENTS NOCTURNAL SECRETS WITH Re.You,"8. COORDINATAS PRESENTS NOCTURNAL SECRETS WITH Re.You
📍 Piree
📅 2025-11-01 at 21:00
👥 8 attending
🔗 https://ra.co/events/2280934",Piree,2025-11-01,https://ra.co/events/2280934,RAEvents,athens,2025-11-01,2025-11-05,8,,2025-11-01T14:32:22.776263
RAEvents_8,BIBA HALLOWEEN PARTY,"9. BIBA HALLOWEEN PARTY
📍 TBA - Biba Speakeasy by Palatine (Ath Axarlian 2-4, Syntagma Sq.)
📅 2025-11-01 at 23:00
👥 7 attending
🔗 https://ra.co/events/2286158","TBA - Biba Speakeasy by Palatine (Ath Axarlian 2-4, Syntagma Sq.)",2025-11-01,https://ra.co/events/2286158,RAEvents,athens,2025-11-01,2025-11-05,7,,2025-11-01T14:32:22.776267
RAEvents_9,Trash x Rave Halloween Edition,"10. Trash x Rave Halloween Edition
📍 Romantso
📅 2025-11-01 at 23:00
👥 8 attending
🔗 https://ra.co/events/2286450",Romantso,2025-11-01,https://ra.co/events/2286450,RAEvents,athens,2025-11-01,2025-11-05,8,,2025-11-01T14:32:22.776272
RAEvents_10,Get Busy Vol.2,"11. Get Busy Vol.2
📍 Plex
📅 2025-11-01 at 21:00
👥 7 attending
🔗 https://ra.co/events/2290857",Plex,2025-11-01,https://ra.co/events/2290857,RAEvents,athens,2025-11-01,2025-11-05,7,,2025-11-01T14:32:22.776276
RAEvents_11,HALLOWEEN BASS PARTY by 555,"12. HALLOWEEN BASS PARTY by 555
📍 Dunk Athens
📅 2025-11-01 at 23:59
👥 5 attending
🔗 https://ra.co/events/2276059",Dunk Athens,2025-11-01,https://ra.co/events/2276059,RAEvents,athens,2025-11-01,2025-11-05,5,,2025-11-01T14:32:22.776281
RAEvents_12,Pigs Kaput - All Night Long,"13. Pigs Kaput - All Night Long
📍 Cantina Social
📅 2025-11-01 at 23:00
👥 4 attending
🔗 https://ra.co/events/2293719",Cantina Social,2025-11-01,https://ra.co/events/2293719,RAEvents,athens,2025-11-01,2025-11-05,4,,2025-11-01T14:32:22.776285
RAEvents_13,Halloween afterhours with Louie Dima & Aristo at Skullbar,"14. Halloween afterhours with Louie Dima & Aristo at Skullbar
📍 Skull Bar
📅 2025-11-01 at 05:00
👥 2 attending
🔗 https://ra.co/events/2291988",Skull Bar,2025-11-01,https://ra.co/events/2291988,RAEvents,athens,2025-11-01,2025-11-05,2,,2025-11-01T14:32:22.776289
RAEvents_14,“Facing the Forests” — KIMI ensemble,"15. “Facing the Forests” — KIMI ensemble
📍 TV Control Center (KET)
📅 2025-11-01 at 21:00
👥 0 attending
🔗 https://ra.co/events/2293329",TV Control Center (KET),2025-11-01,https://ra.co/events/2293329,RAEvents,athens,2025-11-01,2025-11-05,0,,2025-11-01T14:32:22.776293
RAEvents_15,Akylla x Mario The Mixer,"16. Akylla x Mario The Mixer
📍 Crust Basement
📅 2025-11-01 at 23:59
👥 0 attending
🔗 https://ra.co/events/2293383",Crust Basement,2025-11-01,https://ra.co/events/2293383,RAEvents,athens,2025-11-01,2025-11-05,0,,2025-11-01T14:32:22.776297
RAEvents_16,HighOnSugar,"17. HighOnSugar
📍 High On Sugar
📅 2025-11-01 at 23:00
👥 0 attending
🔗 https://ra.co/events/2294391",High On Sugar,2025-11-01,https://ra.co/events/2294391,RAEvents,athens,2025-11-01,2025-11-05,0,,2025-11-01T14:32:22.776302
RAEvents_17,Laura Krieg // Uphor!a // Doric - Ilion Plus,"18. Laura Krieg // Uphor!a // Doric - Ilion Plus
📍 Ilion Plus
📅 2025-11-01 at 21:00
👥 0 attending
🔗 https://ra.co/events/2294945",Ilion Plus,2025-11-01,https://ra.co/events/2294945,RAEvents,athens,2025-11-01,2025-11-05,0,,2025-11-01T14:32:22.776306
RAEvents_18,S.I.Z.E,"19. S.I.Z.E
📍 Burger Disco Club
📅 2025-11-02 at 19:00
👥 6 attending
🔗 https://ra.co/events/2284460",Burger Disco Club,2025-11-02,https://ra.co/events/2284460,RAEvents,athens,2025-11-01,2025-11-05,6,,2025-11-01T14:32:22.776311
RAEvents_19,PEN. / SUNEATER,"20. PEN. / SUNEATER
📍 b•side athens
📅 2025-11-02 at 21:00
👥 4 attending
🔗 https://ra.co/events/2291429",b•side athens,2025-11-02,https://ra.co/events/2291429,RAEvents,athens,2025-11-01,2025-11-05,4,,2025-11-01T14:32:22.776314
RAEvents_20,Balearic Beats,"21. Balearic Beats
📍 TBA - Sensimilia (Panormou & Doukisis Plakentias 129)
📅 2025-11-02 at 17:30
👥 2 attending
🔗 https://ra.co/events/2284446",TBA - Sensimilia (Panormou & Doukisis Plakentias 129),2025-11-02,https://ra.co/events/2284446,RAEvents,athens,2025-11-01,2025-11-05,2,,2025-11-01T14:32:22.776318
RAEvents_21,Insomnia x Eterna,"22. Insomnia x Eterna
📍 Stoa Athens
📅 2025-11-02 at 22:00
👥 2 attending
🔗 https://ra.co/events/2290757",Stoa Athens,2025-11-02,https://ra.co/events/2290757,RAEvents,athens,2025-11-01,2025-11-05,2,,2025-11-01T14:32:22.776321
